elapsed time,receive time,header.stamp,topic,value
0,1678374004.637790096,1678374004.636230945,/optitrack/bouncing_table/pose.pose.position.z,0.8817517757415771
0.0038662400000000004,1678374004.641656336,1678374004.640397787,/optitrack/bouncing_table/pose.pose.position.z,0.8817434906959534
0.008090312,1678374004.645880408,1678374004.644564390,/optitrack/bouncing_table/pose.pose.position.z,0.8817505240440369
0.012270703,1678374004.650060799,1678374004.648730993,/optitrack/bouncing_table/pose.pose.position.z,0.8817527294158936
0.016616444,1678374004.654406540,1678374004.652897834,/optitrack/bouncing_table/pose.pose.position.z,0.8817535638809204
0.020963925,1678374004.658754021,1678374004.657064437,/optitrack/bouncing_table/pose.pose.position.z,0.8817547559738159
0.025303836000000003,1678374004.663093932,1678374004.661231040,/optitrack/bouncing_table/pose.pose.position.z,0.881758451461792
0.029474119000000003,1678374004.667264215,1678374004.665397644,/optitrack/bouncing_table/pose.pose.position.z,0.8817507028579712
0.034796408,1678374004.672586504,1678374004.669564485,/optitrack/bouncing_table/pose.pose.position.z,0.8817484378814697
0.037779331,1678374004.675569427,1678374004.673731088,/optitrack/bouncing_table/pose.pose.position.z,0.8817499876022339
0.041866941000000005,1678374004.679657037,1678374004.677897691,/optitrack/bouncing_table/pose.pose.position.z,0.8817523717880249
0.045860954,1678374004.683651050,1678374004.682064294,/optitrack/bouncing_table/pose.pose.position.z,0.8817485570907593
0.050053329,1678374004.687843425,1678374004.686231136,/optitrack/bouncing_table/pose.pose.position.z,0.8817525506019592
0.054232419000000004,1678374004.692022515,1678374004.690397739,/optitrack/bouncing_table/pose.pose.position.z,0.8817516565322876
0.058339246000000004,1678374004.696129342,1678374004.694564342,/optitrack/bouncing_table/pose.pose.position.z,0.8817518353462219
0.062610203,1678374004.700400299,1678374004.698730945,/optitrack/bouncing_table/pose.pose.position.z,0.8817503452301025
0.06709248400000001,1678374004.704882580,1678374004.702897787,/optitrack/bouncing_table/pose.pose.position.z,0.8817538022994995
0.071269819,1678374004.709059915,1678374004.707064390,/optitrack/bouncing_table/pose.pose.position.z,0.881751537322998
0.07527852,1678374004.713068616,1678374004.711230993,/optitrack/bouncing_table/pose.pose.position.z,0.8817495703697205
0.07944772600000001,1678374004.717237822,1678374004.715397834,/optitrack/bouncing_table/pose.pose.position.z,0.8817528486251831
0.08379130900000001,1678374004.721581405,1678374004.719564437,/optitrack/bouncing_table/pose.pose.position.z,0.8817468285560608
0.08766040200000001,1678374004.725450498,1678374004.723731040,/optitrack/bouncing_table/pose.pose.position.z,0.8817561864852905
0.091587973,1678374004.729378069,1678374004.727897644,/optitrack/bouncing_table/pose.pose.position.z,0.8817487359046936
0.095758359,1678374004.733548455,1678374004.732064485,/optitrack/bouncing_table/pose.pose.position.z,0.8817596435546875
0.100222006,1678374004.738012102,1678374004.736231088,/optitrack/bouncing_table/pose.pose.position.z,0.8817470073699951
0.10431462700000001,1678374004.742104723,1678374004.740397691,/optitrack/bouncing_table/pose.pose.position.z,0.8817510008811951
0.108572891,1678374004.746362987,1678374004.744564294,/optitrack/bouncing_table/pose.pose.position.z,0.8817474246025085
0.112937016,1678374004.750727112,1678374004.748731136,/optitrack/bouncing_table/pose.pose.position.z,0.8817511796951294
0.117006681,1678374004.754796777,1678374004.752897739,/optitrack/bouncing_table/pose.pose.position.z,0.8817504644393921
0.12103285700000001,1678374004.758822953,1678374004.757064342,/optitrack/bouncing_table/pose.pose.position.z,0.8817582726478577
0.125507422,1678374004.763297518,1678374004.761230945,/optitrack/bouncing_table/pose.pose.position.z,0.8817569017410278
0.129390946,1678374004.767181042,1678374004.765397787,/optitrack/bouncing_table/pose.pose.position.z,0.8817548751831055
0.133947865,1678374004.771737961,1678374004.769564390,/optitrack/bouncing_table/pose.pose.position.z,0.8817583322525024
0.137644229,1678374004.775434325,1678374004.773730993,/optitrack/bouncing_table/pose.pose.position.z,0.8817620277404785
0.14177915200000002,1678374004.779569248,1678374004.777897834,/optitrack/bouncing_table/pose.pose.position.z,0.8817532062530518
0.145941088,1678374004.783731184,1678374004.782064437,/optitrack/bouncing_table/pose.pose.position.z,0.8817542791366577
0.15004499500000001,1678374004.787835091,1678374004.786231040,/optitrack/bouncing_table/pose.pose.position.z,0.8817557096481323
0.154473843,1678374004.792263939,1678374004.790397644,/optitrack/bouncing_table/pose.pose.position.z,0.8817451596260071
0.158690828,1678374004.796480924,1678374004.794564485,/optitrack/bouncing_table/pose.pose.position.z,0.8817551136016846
0.16295905300000002,1678374004.800749149,1678374004.798731088,/optitrack/bouncing_table/pose.pose.position.z,0.8817565441131592
0.16702921,1678374004.804819306,1678374004.802897691,/optitrack/bouncing_table/pose.pose.position.z,0.8817571997642517
0.17111443,1678374004.808904526,1678374004.807064294,/optitrack/bouncing_table/pose.pose.position.z,0.8817592263221741
0.17555018700000002,1678374004.813340283,1678374004.811231136,/optitrack/bouncing_table/pose.pose.position.z,0.8817568421363831
0.179241182,1678374004.817031278,1678374004.815397739,/optitrack/bouncing_table/pose.pose.position.z,0.8817520141601562
0.183561376,1678374004.821351472,1678374004.819564342,/optitrack/bouncing_table/pose.pose.position.z,0.881756603717804
0.187541803,1678374004.825331899,1678374004.823730945,/optitrack/bouncing_table/pose.pose.position.z,0.8817549347877502
0.19183233800000002,1678374004.829622434,1678374004.827897787,/optitrack/bouncing_table/pose.pose.position.z,0.8817510008811951
0.195978486,1678374004.833768582,1678374004.832064390,/optitrack/bouncing_table/pose.pose.position.z,0.8817525506019592
