elapsed time,receive time,header.stamp,topic,value
35.528655985,1680633421.598205139,1680633421.564819812,qy,-0.04781443253159523
35.53276645,1680633421.602315604,1680633421.568986654,qy,-0.047867435961961746
35.537070519,1680633421.606619673,1680633421.573153257,qy,-0.04802509397268295
35.541272037,1680633421.610821191,1680633421.577319860,qy,-0.048166949301958084
35.545277217,1680633421.614826371,1680633421.581486463,qy,-0.048185084015131
35.549480596,1680633421.619029750,1680633421.585653305,qy,-0.048123762011528015
35.553489876,1680633421.623039030,1680633421.589819908,qy,-0.04795493185520172
35.557790326,1680633421.627339480,1680633421.593986511,qy,-0.0475781224668026
35.561936187,1680633421.631485341,1680633421.598153114,qy,-0.04747040197253227
35.566170432,1680633421.635719586,1680633421.602319955,qy,-0.047525592148303986
35.570502559,1680633421.640051713,1680633421.606486558,qy,-0.04757174849510193
35.574211067,1680633421.643760221,1680633421.610653162,qy,-0.04753207415342331
35.578415717,1680633421.647964871,1680633421.614819765,qy,-0.04747723788022995
35.583128014,1680633421.652677168,1680633421.618986606,qy,-0.04747707024216652
35.587034529,1680633421.656583683,1680633421.623153209,qy,-0.04749145358800888
35.590925399,1680633421.660474553,1680633421.627319812,qy,-0.04745965451002121
35.595265831,1680633421.664814985,1680633421.631486654,qy,-0.047374144196510315
35.599501134,1680633421.669050288,1680633421.635653257,qy,-0.04730478674173355
35.603734094,1680633421.673283248,1680633421.639819860,qy,-0.047390926629304886
35.607952756,1680633421.677501910,1680633421.643986463,qy,-0.047636087983846664
35.611938003,1680633421.681487157,1680633421.648153305,qy,-0.04786837846040726
35.616442871,1680633421.685992025,1680633421.652319908,qy,-0.04790447652339935
35.620383902,1680633421.689933056,1680633421.656486511,qy,-0.04777940362691879
35.624331786,1680633421.693880940,1680633421.660653114,qy,-0.04751594364643097
35.628765005,1680633421.698314159,1680633421.664819955,qy,-0.04737652838230133
35.632968016,1680633421.702517170,1680633421.668986558,qy,-0.04765278473496437
35.636575275,1680633421.706124429,1680633421.673153162,qy,-0.04800080880522728
35.641036752,1680633421.710585906,1680633421.677319765,qy,-0.048199497163295746
35.645165122,1680633421.714714276,1680633421.681486606,qy,-0.048252400010824203
35.64947212,1680633421.719021274,1680633421.685653209,qy,-0.04825827106833458
35.653462291,1680633421.723011445,1680633421.689819812,qy,-0.04827471822500229
35.657962203,1680633421.727511357,1680633421.693986654,qy,-0.04826348274946213
35.662013568,1680633421.731562722,1680633421.698153257,qy,-0.04825549200177193
35.665842852,1680633421.735392006,1680633421.702319860,qy,-0.0482645258307457
35.670208011,1680633421.739757165,1680633421.706486463,qy,-0.04828015714883804
35.674424718,1680633421.743973872,1680633421.710653305,qy,-0.04832904413342476
35.678631866,1680633421.748181020,1680633421.714819908,qy,-0.04828329756855965
35.68274209,1680633421.752291244,1680633421.718986511,qy,-0.048299919813871384
35.686867369,1680633421.756416523,1680633421.723153114,qy,-0.04827801510691643
35.691426492,1680633421.760975646,1680633421.727319955,qy,-0.04816339910030365
35.695701585,1680633421.765250739,1680633421.731486558,qy,-0.048077542334795
35.699520346,1680633421.769069500,1680633421.735653162,qy,-0.04798854887485504
35.703866907,1680633421.773416061,1680633421.739819765,qy,-0.04787009209394455
35.707860961,1680633421.777410115,1680633421.743986606,qy,-0.04791402816772461
35.712093542,1680633421.781642696,1680633421.748153209,qy,-0.04792163521051407
35.716325121,1680633421.785874275,1680633421.752319812,qy,-0.047896936535835266
35.720533216,1680633421.790082370,1680633421.756486654,qy,-0.04783707484602928
35.724762816,1680633421.794311970,1680633421.760653257,qy,-0.04773447662591934
35.72888043,1680633421.798429584,1680633421.764819860,qy,-0.04763146489858627
35.732768943,1680633421.802318097,1680633421.768986463,qy,-0.04752625897526741
35.736954942,1680633421.806504096,1680633421.773153305,qy,-0.047442689538002014
35.741103639,1680633421.810652793,1680633421.777319908,qy,-0.04750195890665054
35.745362813,1680633421.814911967,1680633421.781486511,qy,-0.04765208810567856
